"title","type","subtype","rarity","color","revealed","attack","armor","health","mana","gold","skills","effect","effectType","sigCard","sigOf"
"Nyctasha's Guard","Item","Armor","rare","","true","","","","","25","","Equipped hero has +1 Armor.
Active ■1: Move equipped hero's enemy neighbors to random other lanes.","","",""
"Axe","Hero","","rare","red","true","7","2","11","","","","","","Berserker's Call",""
"Beastmaster","Hero","","common","red","true","5","0","12","","","Call of the Wild","Active ■3: Summon a Loyal Beast.","Active Ability","Primal Roar",""
"Bristleback","Hero","","common","red","true","8","0","12","","","Barroom Brawler","Modify Bristleback with +2 Armor after a hero blocking it dies.","Passive Ability","Viscous Nasal Goo",""
"Centaur Warrunner","Hero","","rare","red","true","4","0","14","","","Return","Centaur Warrunner has +2 Retaliate.","Continuous Effect","Double Edge",""
"Keefe the Bold","Hero","","basic","red","true","6","1","11","","","","","","Fighting Instinct",""
"Legion Commander","Hero","","uncommon","red","true","6","1","8","","","Moment of Courage","Legion Commander has +2 Retaliate.","Continuous Effect","Duel",""
"Mazzie","Hero","","common","red","true","6","3","6","","","","","","Steel Reinforcement",""
"Pugna","Hero","","rare","red","true","6","0","9","","","Nether Blast","Active ■3: Condemn a random enemy improvement.","Active Ability","Nether Ward",""
"Sven","Hero","","common","red","true","5","0","11","","","Great Cleave","Sven has +X Cleave where X is equal to half its Attack.","Continuous Effect","God's Strength",""
"Tidehunter","Hero","","uncommon","red","true","2","1","18","","","Ravage","Active ■4: Stun Tidehunter's enemy neighbors this round and each other enemy has a 50% chance of being stunned this round.","Active Ability","Kraken Shell",""
"Timbersaw","Hero","","uncommon","red","true","4","0","11","","","Reactive Armor","Timbersaw has +1 Armor for each of its attackers.","Continuous Effect","Whirling Death",""
"Ursa","Hero","","common","red","true","7","0","10","","","Fury Swipes","When Ursa deals battle damage to a unit, modify that unit with -1 Armor.","Passive Ability","Enrage",""
"Crystal Maiden","Hero","","common","blue","true","2","0","5","","","Arcane Aura","After the first time an allied spell is played in each lane, restore 2 Mana to the tower in that lane.","Passive Ability","Frostbite",""
"Earthshaker","Hero","","rare","blue","true","2","0","7","","","Fissure","Active ■4: Stun Earthshaker's enemy neighbors this round.","Active Ability","Echo Slam",""
"J'Muy the Wise","Hero","","basic","blue","true","3","0","8","","","Wisdom of the Elders","Active ■4: Draw a card.","Active Ability","Battlefield Control",""
"Kanna","Hero","","rare","blue","true","2","0","12","","","Bringer of Conquest","The random allied Melee Creeps are deployed into Kanna's lane.","Continuous Effect","Prey on the Weak",""
"Luna","Hero","","uncommon","blue","true","3","0","8","","","Lucent Beam","Before the action phase, deal 1 piercing damage to a random enemy and add a charge to three random Eclipse cards in your hand or deck.","Passive Ability","Eclipse",""
"Meepo","Hero","","rare","blue","true","4","0","5","","","United We Fall|Poof","Active ■2: Meepo has Soulbound. (If Meepo dies, other allied Meepos in every lane also die.)|Active ■2: Move Meepo to an allied Meepo's lane. □ Deal 2 damage to the new enemy neighbors.","Continuous Effect|Active Ability","Divided We Stand",""
"Ogre Magi","Hero","","common","blue","true","3","0","7","","","Multicast","After you play a blue spell, there is a 25% chance to put a base copy of that card into your hand.","Passive Ability","Ignite",""
"Outworld Devourer","Hero","","uncommon","blue","true","4","0","6","","","Essence Aura","After you play a blue card, there is a 50% chance to restore 2 Mana.","Passive Ability","Astral Imprisonment",""
"Prellex","Hero","","uncommon","blue","true","3","0","5","","","Bringer of the Faithful","Summon a Melee Creep into Prellex's lane each deployment phase.","Passive Ability","Barracks",""
"Skywrath Mage","Hero","","common","blue","true","3","0","6","","","Concussive Shot","Active ■2: Give a hero and its allied neighbors -2 Armor this round.","Active Ability","Mystic Flare",""
"Venomancer","Hero","","common","blue","true","2","0","6","","","Venomous Nature","Summon a Plague Ward into Venomancer's lane each deployment phase.","Passive Ability","Sow Venom",""
"Zeus","Hero","","common","blue","true","3","0","7","","","Static Field","Deal 1 piercing damage to Zeus's enemy neighbors after you play a blue spell.","Passive Ability","Thundergod's Wrath",""
"Bloodseeker","Hero","","common","black","true","7","0","6","","","Blood Bath","Fully heal Bloodseeker after a unit blocking it dies.","Passive Ability","Blood Rage",""
"Bounty Hunter","Hero","","common","black","true","7","0","7","","","Jinada","Before the action phase, there is a 50% chance to give Bounty Hunter +4 Attack this round.","Passive Ability","Track",""
"Debbi the Cunning","Hero","","basic","black","true","7","0","5","","","Work the Knife","Debbi the Cunning deals +2 damage when attacking a hero or tower.","Continuous Effect","No Accident",""
"Lich","Hero","","rare","black","true","5","0","9","","","Sacrifice","Active ■2: Condemn another ally and draw a card. If that ally has 6 or more Attack, draw an extra card.","Active Ability","Chain Frost",""
"Lion","Hero","","common","black","true","6","0","5","","","Finger of Death","Active ■4: Deal 8 piercing damage to a unit.","Active Ability","Mana Drain",""
"Necrophos","Hero","","common","black","true","5","0","6","","","Sadist","Modify Necrophos with +1 Health after an enemy neighbor dies.","Passive Ability","Heartstopper Aura",""
"Phantom Assassin","Hero","","common","black","true","6","0","8","","","Efficient Killer","Phantom Assassin deals +4 damage when attacking a hero.","Continuous Effect","Coup de Grace",""
"Sniper","Hero","","uncommon","black","true","5","0","6","","","Headshot","Active ■3: Deal 5 damage to a unit.","Active Ability","Assassinate",""
"Sorla Khan","Hero","","uncommon","black","true","8","0","6","","","Warmonger","Sorla Khan deals +4 damage when attacking a tower.","Continuous Effect","Assault Ladders",""
"Storm Spirit","Hero","","rare","black","true","4","0","6","","","Overload","Give Storm Spirit +2 Attack until end of its next combat phase after you play a black card in any lane.","Passive Ability","Ball Lightning",""
"Tinker","Hero","","rare","black","true","7","0","5","","","Laser","Active ■3: Deal 3 damage to a unit and disarm it this round.","Active Ability","March of the Machines",""
"Winter Wyvern","Hero","","uncommon","black","true","6","0","6","","","Arctic Burn","Active ■2: Move Winter Wyvern to an empty combat position and give it +4 Attack this round.","Active Ability","Winter's Curse",""
"Abaddon","Hero","","uncommon","green","true","4","0","9","","","Borrowed Time","Active ■2: Fully heal Abaddon and give it Damage Immunity this round.","Active Ability","Aphotic Shield",""
"Chen","Hero","","rare","green","true","4","0","9","","","Holy Persuasion","Active ■4: Get control of an enemy creep.","Active Ability","Hand of God",""
"Dark Seer","Hero","","common","green","true","5","0","9","","","Surge","Active ■2: Move another ally to another lane.","Active Ability","Ion Shell",""
"Drow Ranger","Hero","","rare","green","true","4","0","7","","","Precision Aura","Other allies in all lanes have +1 Attack.","Continuous Effect","Gust",""
"Enchantress","Hero","","common","green","true","4","0","8","","","Nature's Attendants","Enchantress has +2 Regeneration. Enchantress's allied neighbors have +2 Regeneration.","Continuous Effect","Verdant Refuge",""
"Fahrvhan the Dreamer","Hero","","basic","green","true","4","0","10","","","Pack Leadership","Fahrvhan the Dreamer's allied neighbors have +1 Armor.","Continuous Effect","Prowler Vanguard",""
"Lycan","Hero","","common","green","true","4","0","10","","","Feral Impulse","Lycan's allied neighbors have +2 Attack.","Continuous Effect","Savage Wolf",""
"Magnus","Hero","","common","green","true","4","1","9","","","","","","Empower",""
"Omniknight","Hero","","rare","green","true","5","0","12","","","Purification","Active ■2: Heal a unit 3.","Active Ability","Allseeing One's Favor",""
"Rix","Hero","","uncommon","green","true","3","0","7","","","Relentless Rebel","Rix has Rapid Deployment.","Continuous Effect","Act of Defiance",""
"Treant Protector","Hero","","common","green","true","4","0","10","","","Branches of Iron","Treant Protector's allied neighbors have +2 Armor.","Continuous Effect","Roseleaf Druid",""
"Viper","Hero","","uncommon","green","true","4","0","10","","","Corrosive Skin","When a unit deals battle damage to Viper, modify that unit with -1 Attack.","Passive Ability","Viper Strike",""
"Burning Oil","Spell","Improvement","uncommon","red","true","","","","1","","","Your tower has +2 Retaliate.","Normal","",""
"Double Edge","Spell","Spell","rare","red","true","","","","1","","","Give a red hero +8 Attack and -8 Armor this round.","Normal","","Centaur Warrunner"
