"category","code","title","image","feature","feature","feature","feature","feature","feature","feature","feature","feature","feature","feature","feature"
"","Ex. Id","Name","","Series","Rarity","Colour","Attack","Amour","Health","Sig. Card","Sig. Of","Cost","Skill","Effect","SigCard ID"
"Hero","61","Abaddon","images/ListOfItemsFiles/61.png","Base Set","Unknown","Green","","","","Unknown","Unknown","Unknown","Unknown","Unknown","-1"
"Hero","1","Axe","images/ListOfItemsFiles/1.png","Base Set","Unknown","Red","7","2","11","Berserker's Call","Unknown","Unknown","Unknown","Unknown","3"
"Hero","87","Beastmaster","images/ListOfItemsFiles/87.png","Base Set","Unknown","Red","","","","Unknown","Unknown","Unknown","Unknown","Unknown","-1"
"Hero","10","Bristleback","images/ListOfItemsFiles/10.png","Base Set","Unknown","Red","8","0","12","Viscous Nasal Goo","Unknown","Unknown","Barrroom Brawler Reactive ability Modify Bristleback with +2 armor after a hero blocking it dies.","Unknown","8"
"Hero","92","Centaur Warrunner","images/ListOfItemsFiles/92.png","Base Set","Unknown","Red","","","","Unknown","Unknown","Unknown","Unknown","Unknown","-1"
"Hero","100","Chen","images/ListOfItemsFiles/100.png","Base Set","Unknown","Green","4","0","9","Hand of God","Unknown","Unknown","Unknown","Unknown","101"
"Hero","11","Crystal Maiden","images/ListOfItemsFiles/11.png","Base Set","Unknown","Blue","2","0","5","Frostbite","Unknown","Unknown","Arcane Aura Continuous effect Return 2 mana for every spell cast.","Unknown","51"
"Hero","67","Drow Ranger","images/ListOfItemsFiles/67.png","Base Set","Unknown","Green","","","","Unknown","Unknown","Unknown","Unknown","Unknown","-1"
"Hero","69","Earthshaker","images/ListOfItemsFiles/69.png","Base Set","Unknown","Blue","","","","Unknown","Unknown","Unknown","Unknown","Unknown","-1"
"Hero","96","Kanna","images/ListOfItemsFiles/96.png","Base Set","Unknown","Blue","","","","Unknown","Unknown","Unknown","Unknown","Unknown","-1"
"Hero","5","Legion Commander","images/ListOfItemsFiles/5.png","Base Set","Unknown","Red","6","1","8","Unknown","Unknown","Unknown","Moment of Courage Continuous effect Retaliate 2.","Unknown","-1"
"Hero","17","Luna","images/ListOfItemsFiles/17.png","Base Set","Unknown","Blue","3","0","8","Eclipse","Unknown","Unknown","Lucent Beam Reactive ability Before the action phase, deal 1 piercing damage to a random enemy and add a charge to each Eclipse card in your hand or deck.","Unknown","70"
"Hero","15","Lycan","images/ListOfItemsFiles/15.png","Base Set","Unknown","Green","4","0","10","Savage Wolf","Unknown","Unknown","Feral Impulse Continuous effect Lycan's allied neighbours have +2 attack.","Unknown","22"
"Hero","93","Mazzie","images/ListOfItemsFiles/93.png","Base Set","Unknown","Red","","","","Unknown","Unknown","Unknown","Unknown","Unknown","-1"
"Hero","97","Meepo","images/ListOfItemsFiles/97.png","Base Set","Unknown","Blue","","","","Unknown","Unknown","Unknown","Unknown","Unknown","-1"
